Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
1,"[clr.dll]",5,4,0.09,0.07,"clr.dll",
2,"[nvd3d9wrap.dll]",1,0,0.02,0.00,"nvd3d9wrap.dll",
3,"[KernelBase.dll]",1,1,0.02,0.02,"KernelBase.dll",
0,"[nvd3d9wrap.dll]",3,0,0.05,0.00,"nvd3d9wrap.dll",
1,"[KernelBase.dll]",3,2,0.05,0.03,"KernelBase.dll",
2,"[nvd3d9wrap.dll]",1,1,0.02,0.02,"nvd3d9wrap.dll",
0,"[nvinit.dll]",3,0,0.05,0.00,"nvinit.dll",
1,"[nvinit.dll]",3,0,0.05,0.00,"nvinit.dll",
2,"[nvinit.dll]",3,0,0.05,0.00,"nvinit.dll",
3,"[nvinit.dll]",3,0,0.05,0.00,"nvinit.dll",
4,"[nvinit.dll]",2,0,0.03,0.00,"nvinit.dll",
5,"[user32.dll]",1,1,0.02,0.02,"user32.dll",
5,"[nvinit.dll]",1,0,0.02,0.00,"nvinit.dll",
6,"[nvinit.dll]",1,0,0.02,0.00,"nvinit.dll",
7,"[KernelBase.dll]",1,1,0.02,0.02,"KernelBase.dll",
4,"[KernelBase.dll]",1,0,0.02,0.00,"KernelBase.dll",
5,"[nvd3d9wrap.dll]",1,0,0.02,0.00,"nvd3d9wrap.dll",
6,"[KernelBase.dll]",1,0,0.02,0.00,"KernelBase.dll",
7,"[nvdxgiwrap.dll]",1,0,0.02,0.00,"nvdxgiwrap.dll",
8,"[nvdxgiwrap.dll]",1,0,0.02,0.00,"nvdxgiwrap.dll",
9,"[nvdxgiwrap.dll]",1,0,0.02,0.00,"nvdxgiwrap.dll",
10,"[kernel32.dll]",1,1,0.02,0.02,"kernel32.dll",
